linha=1 | nome=Igor | acao=executou o benchmark | valor=1959
linha=2 | nome=Carlos | acao=otimizou o algoritmo | valor=8420
linha=3 | nome=Renata | acao=otimizou o algoritmo | valor=8923
linha=4 | nome=Lucas | acao=executou o benchmark | valor=2780
linha=5 | nome=Igor | acao=estudou computacao | valor=7417
linha=6 | nome=Mariana | acao=estudou computacao | valor=5422
linha=7 | nome=Sofia | acao=otimizou o algoritmo | valor=9224
linha=8 | nome=Helena | acao=participou da aula | valor=5031
linha=9 | nome=Gabriela | acao=analisou os resultados | valor=3479
linha=10 | nome=Eduarda | acao=participou da aula | valor=4628
linha=11 | nome=Gabriela | acao=escreveu o relatorio | valor=5966
linha=12 | nome=Gabriela | acao=escreveu o relatorio | valor=2556
linha=13 | nome=Mariana | acao=fez um experimento | valor=3333
linha=14 | nome=Tiago | acao=executou o benchmark | valor=3249
linha=15 | nome=Karen | acao=otimizou o algoritmo | valor=6551
linha=16 | nome=Joao | acao=comparou as metricas | valor=7000
linha=17 | nome=Otavio | acao=participou da aula | valor=3155
linha=18 | nome=Sofia | acao=participou da aula | valor=7336
linha=19 | nome=Karen | acao=escreveu o relatorio | valor=5025
linha=20 | nome=Renata | acao=participou da aula | valor=5566
linha=21 | nome=Joao | acao=participou da aula | valor=2503
linha=22 | nome=Helena | acao=otimizou o algoritmo | valor=9722
linha=23 | nome=Mariana | acao=estudou computacao | valor=4473
linha=24 | nome=Joao | acao=comparou as metricas | valor=6906
linha=25 | nome=Gabriela | acao=escreveu o relatorio | valor=8896
linha=26 | nome=Joao | acao=participou da aula | valor=3381
linha=27 | nome=Renata | acao=executou o benchmark | valor=1400
linha=28 | nome=Igor | acao=analisou os resultados | valor=1913
linha=29 | nome=Vitor | acao=escreveu o relatorio | valor=9895
linha=30 | nome=Ana | acao=estudou computacao | valor=2850
linha=31 | nome=Felipe | acao=fez um experimento | valor=1303
linha=32 | nome=Mariana | acao=analisou os resultados | valor=6300
linha=33 | nome=Mariana | acao=comparou as metricas | valor=9436
linha=34 | nome=Sofia | acao=comparou as metricas | valor=7665
linha=35 | nome=Otavio | acao=comparou as metricas | valor=9280
