linha=1 | nome=Felipe | acao=estudou computacao | valor=9965
linha=2 | nome=Felipe | acao=otimizou o algoritmo | valor=4221
linha=3 | nome=Carlos | acao=comparou as metricas | valor=9665
linha=4 | nome=Sofia | acao=otimizou o algoritmo | valor=2377
linha=5 | nome=Vitor | acao=participou da aula | valor=7541
linha=6 | nome=Eduarda | acao=otimizou o algoritmo | valor=8479
linha=7 | nome=Sofia | acao=escreveu o relatorio | valor=7450
linha=8 | nome=Renata | acao=analisou os resultados | valor=7091
linha=9 | nome=Joao | acao=escreveu o relatorio | valor=4662
linha=10 | nome=Eduarda | acao=otimizou o algoritmo | valor=8748
linha=11 | nome=Carlos | acao=executou o benchmark | valor=3028
linha=12 | nome=Carlos | acao=otimizou o algoritmo | valor=4642
linha=13 | nome=Vitor | acao=otimizou o algoritmo | valor=4952
linha=14 | nome=Sofia | acao=executou o benchmark | valor=4952
linha=15 | nome=Bruno | acao=comparou as metricas | valor=2954
linha=16 | nome=Felipe | acao=executou o benchmark | valor=2987
linha=17 | nome=Lucas | acao=escreveu o relatorio | valor=8913
linha=18 | nome=Igor | acao=otimizou o algoritmo | valor=5423
linha=19 | nome=Mariana | acao=comparou as metricas | valor=3286
linha=20 | nome=Joao | acao=estudou computacao | valor=2931
linha=21 | nome=Igor | acao=estudou computacao | valor=7317
linha=22 | nome=Bruno | acao=participou da aula | valor=7760
linha=23 | nome=Gabriela | acao=estudou computacao | valor=1320
linha=24 | nome=Eduarda | acao=otimizou o algoritmo | valor=7241
linha=25 | nome=Eduarda | acao=estudou computacao | valor=3258
linha=26 | nome=Karen | acao=executou o benchmark | valor=1576
linha=27 | nome=Renata | acao=escreveu o relatorio | valor=9287
linha=28 | nome=Carlos | acao=estudou computacao | valor=4755
linha=29 | nome=Natalia | acao=escreveu o relatorio | valor=7852
linha=30 | nome=Natalia | acao=estudou computacao | valor=1040
linha=31 | nome=Gabriela | acao=participou da aula | valor=3129
linha=32 | nome=Sofia | acao=estudou computacao | valor=4213
linha=33 | nome=Helena | acao=fez um experimento | valor=1591
linha=34 | nome=Mariana | acao=executou o benchmark | valor=8023
linha=35 | nome=Vitor | acao=fez um experimento | valor=1416
linha=36 | nome=Bruno | acao=escreveu o relatorio | valor=3362
linha=37 | nome=Ana | acao=analisou os resultados | valor=6534
linha=38 | nome=Vitor | acao=executou o benchmark | valor=7092
linha=39 | nome=Natalia | acao=estudou computacao | valor=1121
linha=40 | nome=Sofia | acao=fez um experimento | valor=3087
linha=41 | nome=Igor | acao=executou o benchmark | valor=3261
linha=42 | nome=Tiago | acao=estudou computacao | valor=4425
linha=43 | nome=Ana | acao=otimizou o algoritmo | valor=2665
linha=44 | nome=Renata | acao=fez um experimento | valor=3845
linha=45 | nome=Joao | acao=escreveu o relatorio | valor=8718
linha=46 | nome=Ana | acao=participou da aula | valor=3267
linha=47 | nome=Lucas | acao=estudou computacao | valor=6268
linha=48 | nome=Renata | acao=participou da aula | valor=6011
linha=49 | nome=Helena | acao=fez um experimento | valor=5889
linha=50 | nome=Bruno | acao=analisou os resultados | valor=5731
linha=51 | nome=Mariana | acao=comparou as metricas | valor=1905
linha=52 | nome=Daniela | acao=participou da aula | valor=7825
linha=53 | nome=Joao | acao=comparou as metricas | valor=9838
linha=54 | nome=Otavio | acao=analisou os resultados | valor=7680
linha=55 | nome=Gabriela | acao=fez um experimento | valor=9291
linha=56 | nome=Felipe | acao=executou o benchmark | valor=6204
linha=57 | nome=Mariana | acao=participou da aula | valor=1388
linha=58 | nome=Karen | acao=executou o benchmark | valor=4745
linha=59 | nome=Helena | acao=participou da aula | valor=3550
linha=60 | nome=Natalia | acao=analisou os resultados | valor=5559
linha=61 | nome=Bruno | acao=escreveu o relatorio | valor=5858
linha=62 | nome=Natalia | acao=analisou os resultados | valor=3392
linha=63 | nome=Lucas | acao=analisou os resultados | valor=8685
linha=64 | nome=Gabriela | acao=analisou os resultados | valor=4929
linha=65 | nome=Renata | acao=executou o benchmark | valor=4234
linha=66 | nome=Lucas | acao=fez um experimento | valor=3732
linha=67 | nome=Renata | acao=estudou computacao | valor=6916
linha=68 | nome=Otavio | acao=otimizou o algoritmo | valor=7778
linha=69 | nome=Gabriela | acao=escreveu o relatorio | valor=8474
linha=70 | nome=Otavio | acao=participou da aula | valor=5250
linha=71 | nome=Paulo | acao=otimizou o algoritmo | valor=9664
linha=72 | nome=Eduarda | acao=estudou computacao | valor=8448
linha=73 | nome=Gabriela | acao=participou da aula | valor=7776
linha=74 | nome=Daniela | acao=otimizou o algoritmo | valor=5419
linha=75 | nome=Otavio | acao=comparou as metricas | valor=4492
linha=76 | nome=Daniela | acao=analisou os resultados | valor=6850
linha=77 | nome=Eduarda | acao=estudou computacao | valor=2021
linha=78 | nome=Eduarda | acao=executou o benchmark | valor=3444
linha=79 | nome=Sofia | acao=fez um experimento | valor=9865
linha=80 | nome=Bruno | acao=analisou os resultados | valor=7875
linha=81 | nome=Felipe | acao=fez um experimento | valor=8422
linha=82 | nome=Igor | acao=executou o benchmark | valor=2574
linha=83 | nome=Eduarda | acao=comparou as metricas | valor=5554
linha=84 | nome=Ana | acao=comparou as metricas | valor=5760
linha=85 | nome=Daniela | acao=fez um experimento | valor=6895
linha=86 | nome=Mariana | acao=estudou computacao | valor=3829
linha=87 | nome=Natalia | acao=fez um experimento | valor=5109
linha=88 | nome=Lucas | acao=fez um experimento | valor=5288
linha=89 | nome=Eduarda | acao=analisou os resultados | valor=7321
linha=90 | nome=Bruno | acao=comparou as metricas | valor=5215
linha=91 | nome=Ana | acao=estudou computacao | valor=4380
linha=92 | nome=Mariana | acao=otimizou o algoritmo | valor=2438
linha=93 | nome=Renata | acao=fez um experimento | valor=5715
linha=94 | nome=Bruno | acao=estudou computacao | valor=5779
linha=95 | nome=Lucas | acao=analisou os resultados | valor=1426
linha=96 | nome=Bruno | acao=participou da aula | valor=2798
linha=97 | nome=Tiago | acao=executou o benchmark | valor=4854
